列1,行事,担当者,その他
4月,入学式準備,2年生準備,3年生(三役がリハーサルを行う)
4月,入学式,役職者が担当する,三役(会長・副会長・書記)が校旗入場を行う
4月,歓迎フェス,3年生が担当する,会長挨拶・対面握手・エール
5月,クラスマッチ各学年ごとに,1/2/3年生が行う,
5月,クラスマッチ各学年ごとに,1/2/3年生が行う,
5月,クラスマッチ各学年ごとに,1/2/3年生が行う,
5月,生徒総会,3年生が担当,司会、代議委員長が基本的に話すことになる
7月,生徒交流会(例年東福岡高校開催),参加希望制,
8月,第一回オープンスクール,"1,3年生が担当",会長は参加
9月,玄海旗,司会、会長は参加,
10月,第2回オープンスクール,"1,2年生が担当",会長は参加
10月,スポフェス練習期間,各日にちで行う,
10月,スポフェス本番,司会・会長・得点計算係のみ下に在中,
10月,けやき祭準備,担当場所で学年を決める,
10月,けやき祭本番,担当場所で学年を決める,
11月,第３回オープンスクール,"1,2年生が担当",会長は参加
12月,入試対策説明会,"1,2年生が担当",会長は参加
12月,生徒会交流会(東福岡高校開催),参加希望制,
2月,卒業フェスティバル,2年生が担当,
3月,卒業式,役職者が担当する,役職者はリハーサルあり
